ccam_num,day_num,carcass_age,CORA,TUVU,UNGU,Bird,Great Blue Heron (not scavenging),Deer mouse,Human,Western Fence Lizard,Mule deer (mouth contact),Black phoebe
5,1,2,7832444s (~12.95 weeks),38291950s (~1.21 years),0s,0s,0s,0s,0s,0s,0s,0s
5,1,3,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
5,2,2,0s,30824s (~8.56 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,3,2,0s,30865s (~8.57 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,4,2,594s (~9.9 minutes),42735s (~11.87 hours),594s (~9.9 minutes),0s,0s,0s,0s,0s,0s,0s
5,5,2,2968s (~49.47 minutes),30865s (~8.57 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,6,2,0s,29091s (~8.08 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,7,3,594s (~9.9 minutes),1781s (~29.68 minutes),0s,0s,0s,0s,0s,0s,0s,0s
5,8,3,0s,3000s (~50 minutes),0s,0s,0s,0s,0s,0s,0s,0s
5,9,3,0s,7124s (~1.98 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,10,3,1187s (~19.78 minutes),27904s (~7.75 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,11,3,0s,14843s (~4.12 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,12,3,0s,7122s (~1.98 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,13,4,0s,11160s (~3.1 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,14,4,0s,23149s (~6.43 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,15,4,0s,16618s (~4.62 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,16,4,594s (~9.9 minutes),17809s (~4.95 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,17,4,0s,14557s (~4.04 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,18,4,0s,10641s (~2.96 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,19,4,0s,5936s (~1.65 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,20,4,0s,6528s (~1.81 hours),0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
5,21,4,0s,14400s (~4 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,22,4,0s,10200s (~2.83 hours),0s,0s,0s,0s,0s,0s,0s,0s
5,23,4,2868s (~47.8 minutes),1434s (~23.9 minutes),0s,0s,0s,0s,0s,0s,0s,0s
5,24,4,0s,6528s (~1.81 hours),0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
5,25,4,0s,3561s (~59.35 minutes),0s,0s,0s,0s,0s,0s,0s,0s
5,26,4,600s (~10 minutes),1200s (~20 minutes),0s,600s (~10 minutes),0s,0s,0s,0s,0s,0s
5,27,4,0s,593s (~9.88 minutes),0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
5,28,4,0s,593s (~9.88 minutes),0s,1187s (~19.78 minutes),0s,0s,0s,0s,0s,0s
5,29,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
5,30,4,0s,0s,0s,1780s (~29.67 minutes),0s,0s,0s,0s,0s,0s
5,31,4,0s,593s (~9.88 minutes),0s,2373s (~39.55 minutes),0s,0s,0s,0s,0s,0s
5,32,4,0s,0s,0s,3560s (~59.33 minutes),0s,0s,0s,0s,0s,0s
5,33,4,0s,733s (~12.22 minutes),0s,2200s (~36.67 minutes),0s,0s,0s,0s,0s,0s
5,34,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
5,35,4,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s,0s,0s
5,36,4,0s,0s,0s,1187s (~19.78 minutes),0s,0s,0s,0s,0s,0s
5,37,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
5,38,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
5,39,4,0s,0s,0s,1186s (~19.77 minutes),0s,0s,0s,0s,0s,0s
5,40,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
5,41,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
5,42,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
5,43,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
5,44,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
5,45,4,0s,1186s (~19.77 minutes),0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
5,46,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
5,47,4,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s,0s,0s
5,48,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
5,49,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
5,50,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
6,1,3,6500s (~1.81 hours),13000s (~3.61 hours),13000s (~3.61 hours),0s,0s,0s,0s,0s,0s,0s
6,2,3,4150s (~1.15 hours),9486s (~2.63 hours),16600s (~4.61 hours),0s,0s,0s,0s,0s,0s,0s
6,3,3,1187s (~19.78 minutes),7123s (~1.98 hours),10091s (~2.8 hours),0s,0s,0s,0s,0s,0s,0s
6,4,3,2968s (~49.47 minutes),4155s (~1.15 hours),7123s (~1.98 hours),0s,0s,0s,0s,0s,0s,0s
6,5,3,3562s (~59.37 minutes),1187s (~19.78 minutes),5936s (~1.65 hours),594s (~9.9 minutes),0s,0s,0s,0s,0s,0s
6,6,3,2375s (~39.58 minutes),10093s (~2.8 hours),20185s (~5.61 hours),0s,0s,0s,0s,0s,0s,0s
6,7,3,0s,4200s (~1.17 hours),9000s (~2.5 hours),0s,0s,0s,0s,0s,0s,0s
6,8,3,0s,3775s (~1.05 hours),5034s (~1.4 hours),0s,0s,0s,0s,0s,0s,0s
6,9,3,613s (~10.22 minutes),1226s (~20.43 minutes),5519s (~1.53 hours),0s,0s,0s,0s,0s,0s,0s
6,10,3,649s (~10.82 minutes),1947s (~32.45 minutes),2595s (~43.25 minutes),0s,0s,0s,0s,0s,0s,0s
6,11,3,1282s (~21.37 minutes),16023s (~4.45 hours),17305s (~4.81 hours),0s,0s,0s,0s,0s,0s,0s
6,12,3,2174s (~36.23 minutes),13769s (~3.82 hours),14494s (~4.03 hours),0s,0s,0s,0s,0s,0s,0s
6,13,3,2293s (~38.22 minutes),1529s (~25.48 minutes),6880s (~1.91 hours),0s,0s,0s,0s,0s,0s,0s
6,14,3,2400s (~40 minutes),6400s (~1.78 hours),12800s (~3.56 hours),0s,0s,0s,0s,0s,0s,0s
6,15,3,1883s (~31.38 minutes),3138s (~52.3 minutes),2510s (~41.83 minutes),0s,0s,0s,0s,0s,0s,0s
6,16,3,0s,1969s (~32.82 minutes),5252s (~1.46 hours),0s,0s,0s,0s,0s,0s,0s
6,17,3,2358s (~39.3 minutes),786s (~13.1 minutes),3930s (~1.09 hours),0s,0s,0s,0s,0s,0s,0s
6,18,3,2123s (~35.38 minutes),13446s (~3.73 hours),6369s (~1.77 hours),0s,0s,0s,0s,0s,0s,0s
6,19,3,5600s (~1.56 hours),9600s (~2.67 hours),800s (~13.33 minutes),0s,0s,0s,0s,0s,0s,0s
6,20,3,11200s (~3.11 hours),3200s (~53.33 minutes),7200s (~2 hours),0s,0s,0s,0s,0s,0s,0s
6,21,3,12690s (~3.52 hours),19034s (~5.29 hours),10786s (~3 hours),0s,0s,0s,0s,0s,0s,0s
6,22,3,9101s (~2.53 hours),4854s (~1.35 hours),5461s (~1.52 hours),0s,0s,0s,0s,0s,0s,0s
6,23,4,13041s (~3.62 hours),621s (~10.35 minutes),3105s (~51.75 minutes),0s,0s,0s,0s,0s,0s,0s
6,24,4,9497s (~2.64 hours),4155s (~1.15 hours),6529s (~1.81 hours),594s (~9.9 minutes),0s,0s,0s,0s,0s,0s
6,25,4,16615s (~4.62 hours),5341s (~1.48 hours),4747s (~1.32 hours),0s,0s,0s,0s,0s,0s,0s
6,26,4,14244s (~3.96 hours),6528s (~1.81 hours),4748s (~1.32 hours),593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
6,27,4,9600s (~2.67 hours),2400s (~40 minutes),10200s (~2.83 hours),0s,0s,0s,0s,0s,0s,0s
6,28,4,2966s (~49.43 minutes),15425s (~4.28 hours),10679s (~2.97 hours),0s,0s,0s,0s,0s,0s,0s
6,29,4,16020s (~4.45 hours),4153s (~1.15 hours),13054s (~3.63 hours),593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
6,30,4,3560s (~59.33 minutes),2373s (~39.55 minutes),4153s (~1.15 hours),3560s (~59.33 minutes),0s,0s,0s,0s,0s,0s
6,31,4,1187s (~19.78 minutes),1187s (~19.78 minutes),5933s (~1.65 hours),593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
6,32,4,1187s (~19.78 minutes),0s,3560s (~59.33 minutes),1187s (~19.78 minutes),0s,0s,0s,0s,0s,0s
6,33,4,1780s (~29.67 minutes),1780s (~29.67 minutes),6528s (~1.81 hours),0s,0s,0s,0s,0s,0s,0s
6,34,4,3406s (~56.77 minutes),5110s (~1.42 hours),6813s (~1.89 hours),1703s (~28.38 minutes),0s,0s,0s,0s,0s,0s
