ccam_num,day_num,carcass_age,CORA,TUVU,UNGU,Bird,small_mammal,Human
5,1,2,5908s (~1.64 hours),51986s (~14.44 hours),0s,0s,0s,0s
5,2,2,0s,49200s (~13.67 hours),0s,0s,0s,0s
5,3,2,0s,39768s (~11.05 hours),0s,0s,0s,0s
5,4,2,594s (~9.9 minutes),67665s (~18.8 hours),594s (~9.9 minutes),0s,0s,0s
5,5,2,2968s (~49.47 minutes),40362s (~11.21 hours),0s,0s,0s,0s
5,6,2,0s,53401s (~14.83 hours),0s,0s,0s,0s
5,7,3,594s (~9.9 minutes),2374s (~39.57 minutes),0s,0s,0s,0s
5,8,3,0s,3066s (~51.1 minutes),0s,0s,0s,0s
5,9,3,0s,7800s (~2.17 hours),0s,0s,0s,0s
5,10,3,1187s (~19.78 minutes),37403s (~10.39 hours),0s,0s,0s,0s
5,11,3,0s,21227s (~5.9 hours),0s,0s,0s,0s
5,12,3,0s,7122s (~1.98 hours),0s,0s,0s,0s
5,13,4,0s,12473s (~3.46 hours),0s,0s,0s,0s
5,14,4,0s,33833s (~9.4 hours),0s,0s,0s,0s
5,15,4,0s,18992s (~5.28 hours),0s,0s,0s,0s
5,16,4,1187s (~19.78 minutes),22557s (~6.27 hours),0s,0s,0s,0s
5,17,4,0s,16983s (~4.72 hours),0s,0s,0s,0s
5,18,4,0s,11306s (~3.14 hours),0s,0s,0s,0s
5,19,4,0s,6529s (~1.81 hours),0s,0s,0s,0s
5,20,4,0s,8309s (~2.31 hours),0s,0s,0s,0s
5,21,4,0s,17400s (~4.83 hours),0s,0s,0s,0s
5,22,4,0s,10200s (~2.83 hours),0s,0s,0s,0s
5,23,4,2868s (~47.8 minutes),1434s (~23.9 minutes),0s,0s,0s,0s
5,24,4,0s,7715s (~2.14 hours),0s,0s,0s,0s
5,25,4,0s,3561s (~59.35 minutes),0s,0s,0s,0s
5,26,4,593s (~9.88 minutes),1187s (~19.78 minutes),0s,0s,0s,0s
5,27,4,0s,593s (~9.88 minutes),0s,0s,0s,0s
5,28,4,0s,593s (~9.88 minutes),0s,0s,0s,0s
5,29,4,0s,0s,0s,0s,0s,0s
5,30,4,0s,0s,0s,0s,0s,0s
5,31,4,0s,1200s (~20 minutes),0s,0s,0s,0s
5,32,4,0s,0s,0s,0s,0s,0s
5,33,4,0s,733s (~12.22 minutes),0s,0s,0s,0s
5,34,4,0s,0s,0s,0s,0s,0s
5,35,4,0s,593s (~9.88 minutes),0s,0s,0s,0s
5,36,4,0s,0s,0s,0s,0s,0s
5,37,4,0s,0s,0s,0s,0s,0s
5,38,4,0s,0s,0s,0s,0s,0s
5,39,4,0s,0s,0s,0s,0s,0s
5,40,4,0s,0s,0s,0s,0s,0s
5,41,4,0s,0s,0s,0s,0s,0s
5,42,4,0s,0s,0s,0s,0s,0s
5,43,4,0s,0s,0s,0s,0s,0s
5,44,4,0s,0s,0s,0s,0s,0s
5,45,4,0s,1186s (~19.77 minutes),0s,0s,0s,0s
5,46,4,0s,0s,0s,0s,0s,0s
5,47,4,0s,593s (~9.88 minutes),0s,0s,0s,0s
5,48,4,0s,0s,0s,0s,0s,0s
5,49,4,0s,0s,0s,0s,0s,0s
5,50,4,0s,0s,0s,0s,0s,0s
7,1,3,2952s (~49.2 minutes),1771s (~29.52 minutes),2952s (~49.2 minutes),1181s (~19.68 minutes),0s,0s
7,2,3,1822s (~30.37 minutes),3036s (~50.6 minutes),3036s (~50.6 minutes),0s,0s,0s
7,3,3,0s,2968s (~49.47 minutes),1781s (~29.68 minutes),0s,0s,0s
7,4,3,0s,1187s (~19.78 minutes),5936s (~1.65 hours),0s,0s,0s
7,5,3,594s (~9.9 minutes),0s,2374s (~39.57 minutes),0s,0s,0s
7,6,4,4155s (~1.15 hours),1187s (~19.78 minutes),4155s (~1.15 hours),0s,0s,0s
7,7,4,1781s (~29.68 minutes),0s,2968s (~49.47 minutes),0s,0s,0s
9,2,4,593s (~9.88 minutes),0s,0s,0s,0s,0s
9,3,4,593s (~9.88 minutes),0s,593s (~9.88 minutes),0s,0s,0s
9,4,4,0s,0s,0s,0s,0s,0s
9,5,4,0s,0s,593s (~9.88 minutes),0s,0s,0s
9,6,4,591s (~9.85 minutes),0s,0s,0s,0s,0s
10,2,2,1181s (~19.68 minutes),2953s (~49.22 minutes),0s,0s,0s,0s
11,2,3,593s (~9.88 minutes),7115s (~1.98 hours),0s,0s,0s,0s
11,3,3,600s (~10 minutes),11400s (~3.17 hours),0s,0s,0s,0s
11,4,3,593s (~9.88 minutes),13636s (~3.79 hours),0s,0s,0s,0s
11,5,3,0s,52171s (~14.49 hours),0s,0s,0s,0s
11,6,3,600s (~10 minutes),10200s (~2.83 hours),600s (~10 minutes),0s,0s,0s
11,7,3,593s (~9.88 minutes),2371s (~39.52 minutes),0s,0s,0s,0s
11,8,4,0s,0s,0s,0s,0s,0s
11,9,4,0s,5928s (~1.65 hours),0s,0s,0s,0s
11,10,4,1778s (~29.63 minutes),21337s (~5.93 hours),0s,0s,0s,0s
11,11,4,1185s (~19.75 minutes),593s (~9.88 minutes),593s (~9.88 minutes),0s,0s,0s
11,12,4,0s,0s,0s,0s,0s,0s
11,13,4,14819s (~4.12 hours),593s (~9.88 minutes),0s,0s,0s,0s
11,14,4,0s,0s,0s,0s,600s (~10 minutes),0s
11,15,4,5926s (~1.65 hours),0s,0s,0s,0s,0s
11,16,4,3556s (~59.27 minutes),8296s (~2.3 hours),0s,0s,0s,0s
11,17,4,592s (~9.87 minutes),4739s (~1.32 hours),0s,1185s (~19.75 minutes),0s,0s
11,18,4,1777s (~29.62 minutes),11848s (~3.29 hours),0s,0s,0s,0s
11,19,4,1185s (~19.75 minutes),20734s (~5.76 hours),0s,0s,0s,0s
11,20,4,1777s (~29.62 minutes),8294s (~2.3 hours),0s,592s (~9.87 minutes),0s,0s
11,21,4,3556s (~59.27 minutes),1778s (~29.63 minutes),0s,0s,0s,0s
11,22,4,592s (~9.87 minutes),1778s (~29.63 minutes),0s,0s,0s,0s
