ccam_num,carcass_age,common_raven,gull,turkey_vulture,killdeer,savannah_sparrow,song_sparrow,white_crowned_sparrow,european_starling,american_crow,semipalmated_plover,deer_mouse,bonapartes_gull,black_phoebe,western_fence_lizard,mule_deer
5,1/2,0.028790786948176585,0.0019193857965451055,0.6161228406909789,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0.005319148936170213,0,0.18439716312056736,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0.0012380068090374497,0,0.07149489322191271,3.0950170225936243e-4,3.0950170225936243e-4,6.190034045187249e-4,3.0950170225936243e-4,0,0,0,0,0,0,0,0
6,3,0.061883899233296825,0.16046002190580505,0.12595837897042717,0,0,0,0,0,0,0,0,0,0,0,0
6,4,0.1344319167389419,0.09280138768430182,0.05290546400693842,0,0,0,0,0.0017346053772766695,0,0,0,0,0,0,0
7,3,0.018779342723004695,0.06338028169014084,0.03051643192488263,0,0,0,0,0.014084507042253521,0.004694835680751174,0,0,0,0,0,0
7,4,0.05527638190954774,0.06532663316582915,0.005025125628140704,0,0,0,0,0.020100502512562814,0,0,0,0,0,0,0
8,4,0.0016750418760469012,0,0.0016750418760469012,0,8.375209380234506e-4,0.001256281407035176,0.002512562814070352,0.00711892797319933,0,0,0,0,0,0,0
9,4,0.0071090047393364926,0.004739336492890996,0,0.002369668246445498,0,0.002369668246445498,0.002369668246445498,0.023696682464454975,0,0.0071090047393364926,0,0,0,0,0
11,3,0.009652509652509652,0.0019305019305019305,0.1891891891891892,0,0,0,0,0,0,0,0,0,0,0,0
11,4,0.0403957131079967,8.244023083264633e-4,0.08656224237427865,0,0,0,0,0,0,0,0,0,0,0,0
12,3,0.039473684210526314,0,0.046052631578947366,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0.008333333333333333,0.011111111111111112,0.04722222222222222,0,0,0,0,0.002777777777777778,0,0,0,0,0,0,0
14,3,0.0379746835443038,0.007233273056057866,0.18264014466546113,0,0,0,0,0,0,0,0,0,0,0,0
20,1/2,0.06756756756756757,0,0.14189189189189189,0,0,0,0,0,0,0,0,0,0,0,0
20,3,0.048672566371681415,0.05604719764011799,0.058997050147492625,0,0,0,0,0,0,0,0,0,0,0,0
22,4,0.002178649237472767,0.007625272331154684,0.02287581699346405,0,0,0,0,0,0,0,0.002178649237472767,0,0,0,0
23,3,0.1099290780141844,0.4024822695035461,0.040780141843971635,0,0,0,0,0,0,0,0,0,0,0,0
23,4,0.028169014084507043,0.15492957746478872,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,0.22143864598025387,0.2736248236953456,0.04231311706629055,0,0,0,0,0,0,0,0,0,0,0,0
25,4,0.09944751381215469,0.13259668508287292,0.15469613259668508,0,0,0,0,0,0,0,0,0,0,0,0
27,3,0.2504816955684008,0.1348747591522158,0.038535645472061654,0,0,0,0,0,0,0,0,0,0,0,0
28,3,0.38330170777988615,0.2884250474383302,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0
29,3,0.029787234042553193,0.2936170212765957,0.14042553191489363,0,0,0,0,0,0,0,0,0.002127659574468085,0,0,0
30,1/2,0,0.2956521739130435,0.017391304347826087,0,0,0,0,0,0,0,0,0,0,0,0
30,3,0.1278825995807128,0.3228511530398323,0.1530398322851153,0,0,0,0,0,0,0,0,0,0,0,0
31,3,0.15331807780320367,0.21967963386727687,0.14187643020594964,0,0,0,0,0,0,0,0,0,0,0,0
32,3,0,0.08785529715762273,0.007751937984496124,0,0,0,0,0,0,0,0,0,0,0,0
32,4,0,0.05181347150259067,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,0.004293893129770993,0.019561068702290078,0.020038167938931296,0,0,0,0,0.035305343511450385,0,0,0,0,0,0,0
33,4,0.0011890606420927466,0,0.008323424494649227,0,0,0,0,0.00535077288941736,0,0,0,0,0,0,0
34,3,5.980861244019139e-4,0.007177033492822967,0,5.980861244019139e-4,0,5.980861244019139e-4,0.0011961722488038277,0.05263157894736842,0,0,0,0,0,0,0
