ccam_num,carcass_age,n_photos,common_raven,gull,turkey_vulture,bird,deer_mouse,western_fence_lizard,mule_deer,black_phoebe
5,1/2,521,15,1,321,0,0,0,0,0
5,3,564,3,0,104,0,0,0,0,0
5,4,3231,4,0,231,32,0,0,0,0
6,3,1826,113,293,230,1,0,0,0,0
6,4,2306,310,214,122,54,0,0,0,0
7,3,426,8,27,13,9,0,0,0,0
7,4,199,11,13,1,4,0,0,0,0
8,4,2388,4,0,4,69,0,0,0,0
9,4,422,3,2,0,39,0,0,0,0
10,1/2,72,2,0,5,0,0,0,0,0
11,3,518,5,1,98,0,0,0,0,0
11,4,1213,49,1,105,2,0,0,0,0
12,3,152,6,0,7,0,0,0,0,0
12,4,360,3,4,17,2,0,0,0,0
13,3,32,3,23,0,0,0,0,0,0
14,3,553,21,4,101,0,0,0,0,0
15,3,77,2,7,0,0,0,0,0,0
17,3,28,1,11,0,0,0,0,0,0
18,1/2,22,6,0,0,0,0,0,0,0
20,1/2,148,10,0,21,0,0,0,0,0
20,3,678,33,38,40,0,0,0,0,0
22,3,75,1,0,0,0,0,0,0,0
22,4,918,2,7,21,0,2,0,0,0
23,3,564,62,227,23,0,0,0,0,0
23,4,142,4,22,0,0,0,0,0,0
24,3,709,157,194,30,0,0,0,0,0
25,4,362,36,48,56,0,0,0,0,0
27,3,519,131,70,20,0,0,0,0,0
28,3,527,202,152,31,0,0,0,0,0
29,3,470,14,138,66,1,0,0,0,0
30,1/2,115,0,34,2,0,0,0,0,0
30,3,477,61,154,73,0,0,0,0,0
31,3,436,67,95,62,9,0,0,0,0
32,3,387,0,34,3,0,0,0,0,0
32,4,193,0,10,0,0,0,0,0,0
33,3,2096,9,41,42,156,0,0,0,0
33,4,1682,2,0,14,22,0,0,0,0
34,3,1672,1,12,0,100,0,0,0,0
34,4,2406,0,0,0,68,0,6,0,0
35,3,178,0,42,2,1,0,0,0,0
35,4,2574,102,129,32,109,0,0,0,0
36,3,167,0,1,0,0,0,0,0,0
37,3,812,3,13,11,1,0,0,0,0
37,4,420,0,0,7,21,0,0,0,0
38,3,770,12,0,50,18,0,0,0,0
38,4,81,1,0,3,2,0,0,0,0
39,3,362,0,0,8,0,0,0,0,0
39,4,248,0,0,0,2,0,0,0,0
40,3,274,0,0,0,3,0,0,0,0
40,4,326,0,0,0,6,0,0,0,0
41,3,999,50,13,123,0,0,0,0,0
41,4,90,18,1,1,1,0,0,0,0
46,3,442,31,4,91,0,0,0,0,0
48,1/2,386,13,0,39,1,0,0,0,0
50,1/2,153,1,0,1,0,0,0,0,0
50,3,768,0,3,0,1,0,0,0,0
52,3,695,0,0,0,19,0,0,0,0
52,4,342,0,0,0,2,0,0,0,0
53,3,93,1,6,12,3,0,0,0,0
53,4,1232,34,64,76,4,0,0,0,0
54,3,1533,75,15,219,58,0,0,1,0
54,4,740,9,0,7,24,0,0,0,0
55,1/2,192,5,4,5,0,0,0,0,0
55,3,2144,18,22,65,27,0,0,0,2
58,3,255,46,42,133,0,0,0,0,0
59,1/2,138,13,1,13,2,0,0,0,0
59,3,688,19,12,87,18,0,0,0,0
60,3,221,0,13,4,0,0,0,0,0
61,3,94,20,39,39,0,0,0,0,0
