deploy_date,deploy_time,carcass_id,carcass_species,decomposition_level,carcass_length,latitude,longitude,retrieve_date,retrieve_time
6 Jul 23,8:09,CCAM5,CASL,2,2,37.11333,-122.32849,13 July 23,7:47
6 Jul 23,7:55,CCAM6,STSL,3,3,37.11393,-122.32894,13 July 23,7:42
6 Jul 23,8:30,CCAM7,CASL,3,2,37.11463,-122.32941,13 July 23,7:58
13 Jul 23,7:42,CCAM6,STSL,3,3,37.11393,-122.32894,28 Jul 23,17:55
13 Jul 23,7:47,CCAM5,CASL,3,2,37.11333,-122.32849,28 Jul 23,18:02
28 Jul 23,17:55,CCAM6,STSL,4,2,37.11393,-122.32894,24 Aug 23,17:30
28 Jul 23,18:02,CCAM5,CASL,4,2,37.11333,-122.32849,24 Aug 23,17:50
28 Jul 23,18:31,CCAM8,CASL,4,1.5,37.11365,-122.32903,24 Aug 23,17:45
24 Aug 23,18:23,CCAM9,CASL,4,2.25,37.11464,-122.32944,29 Aug 23,18:00
24 Aug 23,18:34,CCAM10,CASL,2,1.5,37.11524,-122.32999,29 Aug 23,17:30
29 Aug 23,17:46,CCAM11,CASL,3,1.5,37.11341,-122.32896,25 Sep 23,17:40
3 Oct 23,18:30,CCAM12,CASL,3,2,37.11334,-122.3289,10 Oct 23,17:45
3 Oct 23,18:47,CCAM13,CASL,3,2,37.11652,-122.331,10 Oct 23,17:22
10 Oct 23,18:30,CCAM15,CASL,3,1.25,37.11603,-122.33061,17 Oct 23,17:42
11 Oct 23,17:42,CCAM14,CASL,3,2,37.12358,-122.3373,25 Oct 23,18:18
17 Oct 23,17:32,CCAM17,CASL,3,2,37.11602,-122.33056,24 Oct 23,17:21
17 Oct 23,17:48,CCAM18,CASL,1,2.25,37.11379,-122.32908,24 Oct 23,17:32
25 Oct 23,18:03,CCAM22,CASL,4,2,37.12315,-122.33728,1 Nov 23,18:04
31 Oct 23,17:28,CCAM23,CASL,3,2,37.11583,-122.33044,17 Nov 23,7:10
31 Oct 23,17:45,CCAM24,CASL,3,1.25,37.11428,-122.32928,17 Nov 23,7:15
31 Oct 23,18:02,CCAM20,CASL,3,2.25,37.11352,-122.32896,17 Nov 23,7:18
1 Nov 23,17:43,CCAM25,CASL,4,1.75,37.1253,-122.33693,17 Nov 23,8:32
1 Nov 23,18:00,CCAM22,CASL,4,2,37.12315,-122.33728,17 Nov 23,8:46
17 Nov 23,7:40,CCAM27,CASL,3,2,37.1138582,-122.3290204,26 Nov 23,7:30
17 Nov 23,7:45,CCAM28,CASL,3,1.75,37.1137363,-122.329002,28 Nov 23,7:30
17 Nov 23,8:40,CCAM29,CASL,3,2.25,37.1250256,-122.3370033,28 Nov 23,8:21
17 Nov 23,8:55,CCAM30,CASL,2,2,37.12157,-122.33785,28 Nov 23,8:35
28 Nov 23,8:21,CCAM31,CASL,3,2,37.1138582,-122.3290204,15 Dec 23,14:07
15 Dec 23,14:15,CCAM32,CASL,3,1.5,37.12312,-122.33723,24 Dec 23,17:34
24 Jun 24,17:55,CCAM33,CASL,3,2.15,37.11471,-122.32941,15 Jul 24,18:21
24 Jun 24,18:22,CCAM34,CASL,3,1.93,37.11632,-122.33069,15 Jul 24,18:02
24 Jun 24,19:22,CCAM35,CASL,3,2.15,37.11997,-122.33782,15 Jul 24,19:55
15 Jul 24,18:05,CCAM34,CASL,4,1.93,37.11632,-122.33069,25 Jul 24,18:08
15 Jul 24,18:25,CCAM33,CASL,3,2.15,37.11471,-122.32941,25 Jul 24,17:56
15 Jul 24,18:50,CCAM36,CASL,3,1.7,37.11592,-122.33052,25 Jul 24,17:21
15 Jul 24,20:00,CCAM35,CASL,4,2.15,37.11997,-122.33782,25 Jul 24,19:14
25 Jul 24,17:48,CCAM37,CASL,3,1.78,37.11385,-122.329,8 Aug 24,18:11
25 Jul 24,17:56,CCAM33,CASL,4,2.15,37.11471,-122.32941,8 Aug 24,18:37
25 Jul 24,18:07,CCAM34,CASL,4,1.93,37.11632,-122.33069,8 Aug 24,17:35
8 Aug 24,17:57,CCAM38,CASL,3,2.2,37.11366,-122.3273391,15 Aug 24,17:47
8 Aug 24,18:28,CCAM39,CASL,3,1.78,37.1139403,-122.3263877,15 Aug 24,17:57
8 Aug 24,18:53,CCAM40,CASL,3,1.14,37.1160433,-122.3306315,15 Aug 24,18:13
15 Aug 24,17:52,CCAM38,CASL,3,2.2,37.11366,-122.3273391,22 Aug 24,17:54
22 Aug 24,18:14,CCAM41,CASL,3,1.98,37.1134,-122.32917,12 Sept 24,18:21
12 Sept 24,18:24,CCAM41,CASL,4,1.98,37.1134,-122.32917,19 Sept 24,17:48
19 Sept 24,18:22,CCAM46,CASL,3,1.57,37.11352,-122.32922,26 Sept 24,18:00
26 Sept 24,18:40,CCAM47,CASL,1,2.11,37.11613,-122.33067,8 Oct 24,18:53
8 Oct 24,18:45,CCAM48,CASL,1,1.52,37.11459,-122.32954,15 Oct 24,17:47
8 Oct 24,18:56,CCAM49,CASL,3,1.88,37.11614,-122.33064,15 Oct 24,17:40
15 Oct 24,17:36,CCAM50,CASL,2,1.57,37.11639,-122.33083,21 Oct 24,17:20
21 Oct 24,17:28,CCAM50,CASL,3,1.57,37.11639,-122.33083,28 Oct 24,17:59
28 Oct 24,18:00,CCAM52,CASL,3,1.57,37.11649,-12233083,14 Nov 24,8:54
30 Jul 25,16:39,CCAM53,CASL,4,1.78,37.12741,-122.33685,8 Aug 25,14:30
1 Aug 25,18:04,CCAM54,CASL,3,1.65,37.11414,-122.3291,13 Aug 25,17:12
