Data Collector / Recorder,Date,Survey Start Time,Survey End Time,Observation Latitude,Observation Longitude,Observation Location,Carcass ID/#,Carcass Species,Decomposition Level / Age (1-4),Carcass Latitude,Carcass Longitude,Carcass Length (meters),Carcass Length Measurement,Bout #,Start Time,Bout Length (seconds),Feeding Observation Time (seconds),# of Pecks,Scavenger Species ID ,Max. Species in Area,Max. Species on Carcass,Notes,
Selah Hyson / Frankie Gerraty,23 July 2025,17:13,19:17,37.12712,-122.33667,"North Point Beach, Año Nuevo",CCAM 53,CASL ,3,37.12741,-122.33685,1.8,measured,1,17:15,NA,300,70,UNGU,NA,NA,,
Selah Hyson / Frankie Gerraty,23 July 2025,17:13,19:17,37.12712,-122.33667,"North Point Beach, Año Nuevo",CCAM 53,CASL ,3,37.12741,-122.33685,1.8,measured,2,17:28,94,94,20,UNGU,1 UNGU,1 UNGU,Possibly displaced?,
Selah Hyson / Frankie Gerraty,23 July 2025,17:13,19:17,37.12712,-122.33667,"North Point Beach, Año Nuevo",CCAM 53,CASL ,3,37.12741,-122.33685,1.8,measured,3,17:32,NA,300,61,UNGU,1 UNGU,NA,Seemed more dominant than TUVU,
Selah Hyson / Frankie Gerraty,23 July 2025,17:13,19:17,37.12712,-122.33667,"North Point Beach, Año Nuevo",CCAM 53,CASL ,3,37.12741,-122.33685,1.8,measured,3,17:32,NA,300,78,UNGU,1 UNGU,NA,,
Selah Hyson / Frankie Gerraty,30 Jul 2025,13:50,15:10,37.12016,-122.33785,"North Point Beach, Año Nuevo",NA,CASL ,1,37.1195,-122.33804,NA,NA,1,13:55,1234,305,92,CORA,1 UNGU ; 1 CASL ; 1 ELSE,1 UNGU,Elephant seals and sea lions in the area. Disturbed by waves ,
Selah Hyson / Frankie Gerraty,30 Jul 2025,14:41,15:19,37.12016,-122.33785,"North Point Beach, Año Nuevo",NA,Unknown pinniped,4,37.11917,-122.33787,NA,NA,1,14:41,NA,160,34,CORA,1 UNGU ; 1 ELSE,1 UNGU,Disturbed by seal. Not competitive with UNGU. Carcass covered in sand,
Selah Hyson / Frankie Gerraty,30 Jul 2025,14:41,15:19,37.12016,-122.33785,"North Point Beach, Año Nuevo",NA,Unknown pinniped,4,37.11917,-122.33787,NA,NA,2,15:13,NA,236,41,UNGU,NA,NA,Stopped feeding. Carcass covered in sand ,
Selah Hyson / Frankie Gerraty,30 Jul 2025,15:21,15:26,37.12016,-122.33785,"North Point Beach, Año Nuevo",NA,CASL ,4,37.12008,-122.3381,1.6,measured,1,15:21,289,166,41,UNGU,NA,NA,Early 4. Stopped feeding ,
Selah Hyson / Frankie Gerraty,1 Aug 2025,18:30,19:00,37.11626,-122.33052,"Bight Beach, Año Nuevo",1,CASL ,3,37.11655,-122.33109,1.35,measured,1,18:30,NA,317,85,TUVU,1 CORA ; 2 TUVU,1 CORA,,
Selah Hyson / Frankie Gerraty,1 Aug 2025,18:30,19:00,37.11626,-122.33052,"Bight Beach, Año Nuevo",1,CASL ,3,37.11655,-122.33109,1.35,measured,2,18:37,NA,428,90,CORA,1 TUVU ; 1 UNGU,1 TUVU,"displaced by TUVU, when TUVU the feeding rate went up",
Selah Hyson / Frankie Gerraty,1 Aug 2025,18:30,19:00,37.11626,-122.33052,"Bight Beach, Año Nuevo",1,CASL ,3,37.11655,-122.33109,1.35,measured,3,18:49,533,310,27,CORA,1 UNGU,NA,"1 TUVU on carcass, displaced by TUVU (bout only, not feeding rate)",
Selah Hyson / Frankie Gerraty,1 Aug 2025,18:30,19:00,37.11626,-122.33052,"Bight Beach, Año Nuevo",1,CASL ,3,37.11655,-122.33109,1.35,measured,4,18:56,NA,330,90,TUVU,1 CORA,1 CORA,,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,1,16:33,NA,284,49,UNGU,1 CORA,NA,displaced by CORA,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,2,16:38,288,288,69,CORA,1 CORA,NA,displaced by other CORA,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,3,16:43,293,293,68,CORA,1 UNGU ; 1 CORA,1 UNGU,displaced by CORA,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,4,16:48,655,303,58,CORA,1 UNGU ; 1 CORA,NA,,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,4,16:48,655,218,38,CORA,1 UNGU ; 1 CORA,NA,"slowed by CORA presence, then displaced by CORA",
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,5,16:58,1108,300,85,CORA,1 UNGU ; 1 CORA,NA,,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,5,16:58,1108,299,58,CORA,1 TUVU,NA,,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,6,17:17,240,240,38,TUVU,1 TUVU ; 1 UNGU,NA,"waited for CORA to be done, displaced by UNGU",
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,7,17:21,837,300,79,UNGU,2 TUVU,1 TUVU,,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,7,17:21,837,302,75,UNGU,2 TUVU,NA,displaced by TUVU after some time,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,8,17:35,755,300,66,TUVU,1 TUVU ; 1 UNGU,1 TUVU,,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,8,17:35,755,301,47,TUVU,1 TUVU ; 1 UNGU,1 TUVU,displaced by TUVU,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,9,17:48,923,301,75,TUVU,2 TUVU ; 1 UNGU,1 TUVU ; 1 UNGU,took time to assert dominance,
Selah Hyson / Anirudh Karthik Manivannan,8 Aug 2025,16:33,18:05,37.11626,-122.33052,"Bight Beach, Año Nuevo",2,CASL ,2,37.11665,-122.33134,1.19,measured,9,17:48,923,303,61,TUVU,1 TUVU ; 1 UNGU,1 UNGU,scared away by ELSE,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33113,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,1,10:02,NA,118,22,UNGU,NA,NA,,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33113,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,1,10:02,NA,300,78,UNGU,NA,NA,,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33113,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,2,10:16,188,188,33,UNGU,NA,NA,,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33113,"Bight Beach, Año Nuevo",2,CASL,3,37.11628,-122.33066,1,estimated,1,10:28,163,163,24,UNGU,NA,NA,disturbed by wasp,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33113,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,3,11:02,NA,243,57,CORA,1 UNGU ; 1 CORA,1 UNGU ; 1 CORA,displaced by UNGU,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33113,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,4,11:04,NA,108,24,CORA,1 UNGU ; 1 CORA,1 CORA,displaced by UNGU,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33113,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,5,11:08,234,234,40,UNGU,1 UNGU ; 1 CORA,1 UNGU ; 1 CORA,displaced by 2 CORA and 1 UNGU,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33113,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,6,11:16,NA,193,42,UNGU,NA,NA,,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33049,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,7,11:24,NA,259,66,UNGU,NA,NA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12713,-122.33668,"North Point Beach, Año Nuevo",CCAM 53,CASL,4,37.12741,-122.33685,1.8,measured,1,10:02,252,252,33,UNGU,NA,NA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,1,11:13,1659,309,56,UNGU,NA,NA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,1,11:13,1659,313,78,UNGU,2 CORA,1 CORA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,2,11:20,NA,255,71,CORA,1 UNGU ; 1 CORA,1 UNGU ; 1 CORA,displaced by UNGU,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,3,11:23,307,305,44,CORA,2 CORA ; 1 UNGU,1 CORA ; 1 UNGU,displaced by UNGU and CORA, 
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,4,11:40,221,221,29,UNGU,NA,NA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,5,12:00,179,179,34,UNGU,NA,NA,displaced by UNGU,
